City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Atafu Village,TK,2023-07-28 21:34:02,-8.5421,-172.5159,83.95,71,79,16.73
239,Zaozersk,RU,2023-07-28 21:34:03,69.4005,32.4476,56.46,82,100,5.03
240,Santa Terezinha,BR,2023-07-28 21:34:03,-29.9002,-50.0904,54.09,78,48,12.86
241,Friendswood,US,2023-07-28 21:34:03,29.5294,-95.201,99.14,56,0,13.8
242,Shimoda,JP,2023-07-28 21:35:04,34.6667,138.95,83.1,73,19,5.06
243,Motueka,NZ,2023-07-28 21:35:05,-41.1333,173.0167,41.09,59,97,2.51
244,Keflavik,IS,2023-07-28 21:35:05,64.0049,-22.5624,58.91,71,75,13.8
245,Quimili,AR,2023-07-28 21:35:05,-27.6333,-62.4167,62.26,40,0,7.43
246,Kamyshevatskaya,RU,2023-07-28 21:35:05,46.4132,37.9563,68.68,74,81,27.34
247,Mil'Kovo,RU,2023-07-28 21:35:05,55.6078,37.7956,62.74,93,99,8.28
248,Mpongwe,ZM,2023-07-28 21:35:06,-13.5091,28.155,58.3,52,3,5.08
249,Hafar Al-Batin,SA,2023-07-28 21:35:06,28.4328,45.9708,99.18,9,0,6.91
250,Calvinia,ZA,2023-07-28 21:35:06,-31.4707,19.776,43.79,92,39,5.1
251,Illizi,DZ,2023-07-28 21:35:06,26.4833,8.4667,96.6,11,5,5.68
252,Alofi,NU,2023-07-28 21:35:06,-19.0595,-169.9187,73.29,88,100,6.91
253,Richland,US,2023-07-28 21:35:07,40.7834,-82.5499,82.85,74,0,11.5
254,Kruisfontein,ZA,2023-07-28 21:35:07,-34.0033,24.7314,53.89,72,96,5.82
255,Saint-Joseph,RE,2023-07-28 21:35:07,-21.3667,55.6167,62.98,69,17,9.22
256,Ust'-Abakan,RU,2023-07-28 21:35:07,53.8525,91.3742,67.91,77,0,8.95
257,Kourou,GF,2023-07-28 21:35:08,5.1552,-52.6478,82.45,85,47,9.31
258,I-N-Salah,DZ,2023-07-28 21:35:08,27.1935,2.4607,100.24,7,5,7.81
259,Tual,ID,2023-07-28 21:35:08,-5.6667,132.75,79.07,84,99,23.6
260,Chibougamau,CA,2023-07-28 21:35:08,49.9168,-74.3659,59.58,63,74,13.67
261,Beacon Square,US,2023-07-28 21:35:08,28.2086,-82.7554,93.24,64,68,5.01
262,Udaipur,IN,2023-07-28 21:35:09,24.5712,73.6918,74.46,92,94,14.97
263,Crane,US,2023-07-28 21:35:09,31.3974,-102.3501,97.68,21,87,14.76
